Web,Tipo,Periodo,Pageviews
Trome,Peru,201710,45245616
Trome,Peru,201711,54068051
Trome,Peru,201712,60388025
Trome,Estados Unidos,201701,2669094
Trome,Estados Unidos,201702,2401610
Trome,Estados Unidos,201703,3417042
Trome,Estados Unidos,201704,2668436
Trome,Estados Unidos,201705,2308678
Trome,Estados Unidos,201706,2251172
Trome,Estados Unidos,201707,2252793
Trome,Estados Unidos,201708,2157497
Trome,Estados Unidos,201709,1871980
Trome,Estados Unidos,201710,2246627
Trome,Estados Unidos,201711,2474634
Trome,Estados Unidos,201712,2437076
Trome,Extranjero,201701,10265776
Trome,Extranjero,201702,10954065
Trome,Extranjero,201703,16903820
Trome,Extranjero,201704,14212574
Trome,Extranjero,201705,8592710
Trome,Extranjero,201706,9797433
Trome,Extranjero,201707,7355904
Trome,Extranjero,201708,8505200
Trome,Extranjero,201709,6068456
Trome,Extranjero,201710,7103668
Trome,Extranjero,201711,7376574
Trome,Extranjero,201712,7776129
Peru 21,Total,201701,26854346
Peru 21,Total,201702,28661013
Peru 21,Total,201703,39155364
Peru 21,Total,201704,39982831
Peru 21,Total,201705,39931983
Peru 21,Total,201706,41319363
Peru 21,Total,201707,45116090
Peru 21,Total,201708,40076272
Peru 21,Total,201709,37871822
Peru 21,Total,201710,42089000
Peru 21,Total,201711,44010541
Peru 21,Total,201712,47774367
Peru 21,Peru,201701,20690948
Peru 21,Peru,201702,22052414
Peru 21,Peru,201703,30497330
Peru 21,Peru,201704,30981868
Peru 21,Peru,201705,32004447
Peru 21,Peru,201706,33160174
Peru 21,Peru,201707,36135251
Peru 21,Peru,201708,32093001
Peru 21,Peru,201709,30062519
Peru 21,Peru,201710,33800066
Peru 21,Peru,201711,35433613
Peru 21,Peru,201712,39622051
Peru 21,Estados Unidos,201701,1650112
Peru 21,Estados Unidos,201702,1823276
Peru 21,Estados Unidos,201703,2047845
Peru 21,Estados Unidos,201704,2051217
Peru 21,Estados Unidos,201705,1954466
Peru 21,Estados Unidos,201706,1918900
Peru 21,Estados Unidos,201707,2209831
Peru 21,Estados Unidos,201708,1871732
Peru 21,Estados Unidos,201709,1846302
Peru 21,Estados Unidos,201710,2039938
Peru 21,Estados Unidos,201711,2169445
Peru 21,Estados Unidos,201712,2317663
Peru 21,Extranjero,201701,4513286
Peru 21,Extranjero,201702,4785323
Peru 21,Extranjero,201703,6610189
Peru 21,Extranjero,201704,6949746
Peru 21,Extranjero,201705,5973070
Peru 21,Extranjero,201706,6240289
Peru 21,Extranjero,201707,6771008
Peru 21,Extranjero,201708,6111539
Peru 21,Extranjero,201709,5963001
Peru 21,Extranjero,201710,6248996
Peru 21,Extranjero,201711,6407483
Peru 21,Extranjero,201712,5834653
Publimetro,Total,201701,4964629
Publimetro,Total,201702,4340602
Publimetro,Total,201703,6845446
Publimetro,Total,201704,7827199
Publimetro,Total,201705,6658191
Publimetro,Total,201706,5482184
Publimetro,Total,201707,6318667
Publimetro,Total,201708,6501914
Publimetro,Total,201709,6096541
Publimetro,Total,201710,9385094
Publimetro,Total,201711,7074288
Publimetro,Total,201712,7229499
Publimetro,Peru,201701,3788742
Publimetro,Peru,201702,3496664
Publimetro,Peru,201703,5444633
Publimetro,Peru,201704,6243442
Publimetro,Peru,201705,5260966
Publimetro,Peru,201706,4461018
Publimetro,Peru,201707,5319234
Publimetro,Peru,201708,5457094
Publimetro,Peru,201709,5160933
Publimetro,Peru,201710,7527089
Publimetro,Peru,201711,5745094
Publimetro,Peru,201712,6127311
Publimetro,Estados Unidos,201701,133045
Publimetro,Estados Unidos,201702,111139
Publimetro,Estados Unidos,201703,162610
Publimetro,Estados Unidos,201704,166777
Publimetro,Estados Unidos,201705,133813
Publimetro,Estados Unidos,201706,122891
Publimetro,Estados Unidos,201707,126899
Publimetro,Estados Unidos,201708,128311
Publimetro,Estados Unidos,201709,116021
Publimetro,Estados Unidos,201710,240507
Publimetro,Estados Unidos,201711,190820
Publimetro,Estados Unidos,201712,144881
Publimetro,Extranjero,201701,1042842
Publimetro,Extranjero,201702,732799
Publimetro,Extranjero,201703,1238203
Publimetro,Extranjero,201704,1416980
Publimetro,Extranjero,201705,1263412
Publimetro,Extranjero,201706,898275
Publimetro,Extranjero,201707,872534
Publimetro,Extranjero,201708,916509
Publimetro,Extranjero,201709,819587
Publimetro,Extranjero,201710,1617498
Publimetro,Extranjero,201711,1138374
Publimetro,Extranjero,201712,957307
Peru.com,Total,201701,98665328
Peru.com,Total,201702,104899175
Peru.com,Total,201703,128322886
Peru.com,Total,201704,130845938
Peru.com,Total,201705,115416101
Peru.com,Total,201706,112956833
Peru.com,Total,201707,98769130
Peru.com,Total,201708,107820263
Peru.com,Total,201709,64270376
Peru.com,Total,201710,127592879
Peru.com,Total,201711,100175019
Peru.com,Total,201712,74970995
Peru.com,Peru,201701,22954545
Peru.com,Peru,201702,22326199
Peru.com,Peru,201703,27733237
Peru.com,Peru,201704,22106994
Peru.com,Peru,201705,19062720
Peru.com,Peru,201706,16736516
Peru.com,Peru,201707,18757530
Peru.com,Peru,201708,18579129
Peru.com,Peru,201709,16973876
Peru.com,Peru,201710,23840952
Peru.com,Peru,201711,21996200
Peru.com,Peru,201712,25093838
Peru.com,Estados Unidos,201701,7886563
Peru.com,Estados Unidos,201702,6170701
Peru.com,Estados Unidos,201703,6959694
Peru.com,Estados Unidos,201704,6538412
Peru.com,Estados Unidos,201705,7020877
Peru.com,Estados Unidos,201706,7898333
Peru.com,Estados Unidos,201707,8234553
Peru.com,Estados Unidos,201708,9216813
Peru.com,Estados Unidos,201709,7201338
Peru.com,Estados Unidos,201710,10414602
Peru.com,Estados Unidos,201711,7868601
Peru.com,Estados Unidos,201712,5489635
Peru.com,Extranjero,201701,67824220
Peru.com,Extranjero,201702,76402275
Peru.com,Extranjero,201703,93629955
Peru.com,Extranjero,201704,102200532
Peru.com,Extranjero,201705,89332504
Peru.com,Extranjero,201706,88321984
Peru.com,Extranjero,201707,71777047
Peru.com,Extranjero,201708,80024321
Peru.com,Extranjero,201709,40095162
Peru.com,Extranjero,201710,93337325
Peru.com,Extranjero,201711,70310218
Peru.com,Extranjero,201712,44387522
Correo,Total,201701,33305947
Correo,Total,201702,34889397
Correo,Total,201703,40226695
Correo,Total,201704,33240677
Correo,Total,201705,31748575
Correo,Total,201706,28184841
Correo,Total,201707,27655241
Correo,Total,201708,31382532
Correo,Total,201709,30349306
Correo,Total,201710,36027876
Correo,Total,201711,33586485
Correo,Total,201712,27995502
Correo,Peru,201701,28240392
Correo,Peru,201702,29476212
Correo,Peru,201703,34365637
Correo,Peru,201704,28135446
Correo,Peru,201705,27680606
Correo,Peru,201706,24477665
Correo,Peru,201707,23821488
Correo,Peru,201708,27178246
Correo,Peru,201709,26200343
Correo,Peru,201710,31674250
